hand_x,hand_y,hand_z,hand_rot_x,hand_rot_y,hand_rot_z,elbow_x,elbow_y,elbow_z,elbow_rot_x,elbow_rot_y,elbow_rot_z
-0.1150377,1.420755,0.1535888,334.925,96.59198,329.4237,-0.6868504,1.338222,0.1683937,340.7925,254.1453,91.37701
-0.1171441,1.419086,0.1550845,334.8351,96.05225,330.2663,-0.6955117,1.333801,0.167159,339.1307,252.6735,91.09647
-0.1219743,1.414225,0.1582272,334.4431,95.00231,331.3705,-0.7000335,1.330855,0.1663477,338.3938,251.9214,91.08829
-0.1273407,1.407384,0.1626723,333.6739,93.95,332.3573,-0.6997553,1.330832,0.1665492,338.3983,251.9383,91.06148
-0.1316677,1.400163,0.1669925,333.2608,92.84125,333.8536,-0.7080761,1.326948,0.1657809,337.0679,250.6883,90.86613
-0.1355604,1.389867,0.1725099,333.6313,91.09926,335.7954,-0.7142316,1.324438,0.1644604,336.1498,249.7972,90.70956
-0.1423643,1.367342,0.1849451,335.5906,86.76884,340.7733,-0.7141851,1.324316,0.1644573,336.1599,249.8075,90.68707
-0.1455945,1.356471,0.1905971,336.8181,85.181,342.4143,-0.7141851,1.324316,0.1644573,336.1599,249.8075,90.68707
-0.1507456,1.338775,0.1984087,338.9574,83.74024,342.988,-0.7141851,1.324316,0.1644573,336.1599,249.8075,90.68707
-0.1596043,1.31408,0.207208,341.3403,83.78706,339.7278,-0.7141851,1.324316,0.1644573,336.1599,249.8075,90.68707
-0.1673753,1.296971,0.2120948,342.8848,84.50648,336.3892,-0.7141851,1.324316,0.1644573,336.1599,249.8075,90.68707
-0.1755044,1.281754,0.2171336,344.3056,84.79884,334.5328,-0.7141851,1.324316,0.1644573,336.1599,249.8075,90.68707
-0.1815383,1.271583,0.2224666,345.1287,84.37742,334.6356,-0.751984,1.308902,0.15865,333.5535,245.6067,90.55283
-0.1874554,1.262689,0.2277918,346.0583,83.46669,335.4821,-0.7520322,1.308902,0.158632,333.5233,245.6281,90.53941
-0.1902692,1.258456,0.2306991,346.5419,82.91516,336.0813,-0.759066,1.306011,0.1567618,333.2496,244.9481,90.58326
-0.1957874,1.250682,0.2367975,347.4128,81.61469,337.4657,-0.7680467,1.302487,0.1550493,332.9896,244.2495,90.49551
-0.2072316,1.236596,0.2489661,348.9268,79.15869,339.4593,-0.7678291,1.302438,0.1551635,332.9831,244.2408,90.47313
-0.2101368,1.233431,0.2517734,349.2603,78.59299,339.7244,-0.7753381,1.299321,0.1532362,332.7836,243.6829,90.29893
-0.2158784,1.227526,0.2571025,349.8578,77.6251,339.9986,-0.7824215,1.296335,0.1514385,332.5658,243.1479,90.04341
